EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Annual Salary,Country,City,Seniority,Tenure in Years,Total Compensation
E02421,Jordan Truong,Director,Engineering,Speciality Products,Male,Asian,45,183161,United States,Miami,Middle Adulthood,11.01917808,223456
E00523,Daniel Jordan,Network Administrator,IT,Corporate,Male,Caucasian,58,69260,United States,Phoenix,Middle Adulthood,32.12328767,69260
E03615,Daniel Dixon,Operations Engineer,Engineering,Speciality Products,Male,Caucasian,51,95639,United States,Austin,Middle Adulthood,25.91506849,95639
E02761,Luca Duong,Manager,Human Resources,Research & Development,Male,Asian,48,120660,China,Chengdu,Middle Adulthood,21.18630137,129106
E02121,Levi Brown,Sr. Analyst,Sales,Corporate,Male,Black,36,75119,United States,Chicago,Young Adulthood,3.684931507,75119
E01486,Mason Cho,Vice President,Accounting,Research & Development,Male,Asian,59,192213,United States,Chicago,Middle Adulthood,14.30136986,269098
E00725,Nova Herrera,Account Representative,Sales,Speciality Products,Female,Latino,45,65047,Brazil,Sao Paulo,Middle Adulthood,11.32054795,65047
E03027,Elijah Watson,Sr. Manger,Sales,Manufacturing,Male,Caucasian,29,151413,United States,Seattle,Young Adulthood,8.468493151,174125
E03689,Wesley Gray,Sr. Analyst,Accounting,Speciality Products,Male,Caucasian,62,76906,United States,Seattle,Middle Adulthood,22.37808219,76906
E01986,Wesley Sharma,Manager,IT,Corporate,Male,Asian,51,122802,China,Shanghai,Middle Adulthood,31.54246575,128942
E01286,Mateo Mendez,Development Engineer,Engineering,Research & Development,Male,Latino,47,99091,United States,Austin,Middle Adulthood,27.15342466,99091
E01409,Jose Molina,Controls Engineer,Engineering,Manufacturing,Male,Latino,40,113987,Brazil,Manaus,Middle Adulthood,17.52054795,113987
E00626,Luna Simmons,Sr. Analyst,Finance,Corporate,Female,Caucasian,28,95045,United States,Chicago,Young Adulthood,4.994520548,95045
E04342,Samantha Barnes,Vice President,Marketing,Speciality Products,Female,Caucasian,29,190401,United States,Columbus,Young Adulthood,8.660273973,260849
E03904,Hunter Ortiz,Sr. Analyst,Finance,Corporate,Male,Latino,46,86061,Brazil,Rio de Janerio,Middle Adulthood,12.62191781,86061
E01291,Thomas Aguilar,Sr. Account Representative,Sales,Speciality Products,Male,Latino,45,79882,United States,Phoenix,Middle Adulthood,4.55890411,79882
E00917,Skylar Bell,Vice President,Engineering,Manufacturing,Female,Caucasian,30,255431,United States,Columbus,Young Adulthood,7.495890411,347386
E01484,Anna Zhu,Service Desk Analyst,IT,Manufacturing,Female,Asian,48,82017,China,Beijing,Middle Adulthood,22.04383562,82017
E03864,Ella Hunter,Analyst,Finance,Manufacturing,Female,Caucasian,51,53799,United States,Columbus,Middle Adulthood,8.624657534,53799
E00488,Emery Hunter,Sr. Analyst,Sales,Corporate,Female,Caucasian,28,82739,United States,Phoenix,Young Adulthood,4.167123288,82739
E02227,Sofia Parker,Cloud Infrastructure Architect,IT,Manufacturing,Female,Caucasian,36,99080,United States,Chicago,Young Adulthood,11.26575342,99080
E04802,Lucy Fong,Sr. Account Representative,Sales,Corporate,Female,Asian,40,96719,China,Chengdu,Middle Adulthood,14.62465753,96719
E01970,Vivian Barnes,Director,Human Resources,Research & Development,Female,Caucasian,51,180687,United States,Phoenix,Middle Adulthood,4.432876712,215018
E02813,Kai Chow,Engineering Manager,Engineering,Corporate,Male,Asian,45,95743,United States,Austin,Middle Adulthood,24.40547945,110104
E02031,Melody Cooper,Development Engineer,Engineering,Research & Development,Female,Caucasian,44,89695,United States,Austin,Middle Adulthood,16.00273973,89695
E03252,James Bui,Manager,Finance,Manufacturing,Male,Asian,64,122753,China,Chongqing,Older Adulthood,27.1369863,133801
E04871,Liam Grant,Sr. Business Partner,Human Resources,Research & Development,Male,Caucasian,30,93734,United States,Phoenix,Young Adulthood,10.4739726,93734
E03547,Owen Han,Analyst,Accounting,Corporate,Male,Asian,28,52069,China,Chongqing,Young Adulthood,8.312328767,52069
E04742,Kinsley Vega,Vice President,Accounting,Corporate,Female,Latino,33,258426,Brazil,Rio de Janerio,Young Adulthood,4.712328767,361796
E01070,Leonardo Martin,Manager,Finance,Speciality Products,Male,Black,51,125375,United States,Chicago,Middle Adulthood,30.56164384,136659
E04359,Greyson Lam,Vice President,Accounting,Manufacturing,Male,Asian,25,198243,United States,Miami,Young Adulthood,4.564383562,259698
E03268,Emilia Rivera,Test Engineer,Engineering,Research & Development,Female,Latino,42,96023,United States,Miami,Middle Adulthood,7.778082192,96023
E04035,Penelope Johnson,Sr. Analyst,Marketing,Research & Development,Female,Caucasian,34,83066,United States,Chicago,Young Adulthood,13.19452055,83066
E01221,Eva Figueroa,Analyst II,Sales,Research & Development,Female,Latino,48,61216,United States,Seattle,Middle Adulthood,11.30958904,61216
E00276,Ezekiel Jordan,Sr. Manger,Accounting,Corporate,Male,Caucasian,33,144231,United States,Columbus,Young Adulthood,12.56438356,164423
E01687,Luke Mai,HRIS Analyst,Human Resources,Research & Development,Male,Asian,41,51630,China,Beijing,Middle Adulthood,17.86849315,51630
E02844,Charles Diaz,Sr. Manger,Sales,Corporate,Male,Latino,55,124129,Brazil,Sao Paulo,Middle Adulthood,11.8,142748
E01263,Adam Espinoza,Test Engineer,Engineering,Manufacturing,Male,Latino,36,60055,United States,Seattle,Young Adulthood,16.40821918,60055
E00119,Jack Maldonado,Director,Engineering,Research & Development,Male,Latino,31,189290,Brazil,Sao Paulo,Young Adulthood,5.019178082,230934
E03935,Cora Jiang,Vice President,IT,Corporate,Female,Asian,53,182202,United States,Austin,Middle Adulthood,17.35068493,236863
E00742,Cooper Mitchell,Manager,Sales,Speciality Products,Male,Caucasian,43,117518,United States,Seattle,Middle Adulthood,19.59726027,125744
E02810,Layla Torres,Sr. Manger,Finance,Manufacturing,Female,Latino,37,157474,Brazil,Rio de Janerio,Young Adulthood,12.5260274,174796
E01860,Jack Edwards,Manager,Marketing,Manufacturing,Male,Caucasian,38,126856,United States,Columbus,Young Adulthood,17.41643836,134467
E04890,Eleanor Chan,Sr. Manger,Accounting,Manufacturing,Female,Asian,49,129124,China,Shanghai,Middle Adulthood,24.43287671,144619
E02285,Aria Xi,Director,Sales,Research & Development,Female,Asian,45,165181,United States,Seattle,Middle Adulthood,23.52054795,191610
E00842,John Vega,Vice President,Finance,Corporate,Male,Latino,50,247939,Brazil,Rio de Janerio,Middle Adulthood,21.63561644,334718
E01271,Luke Munoz,Director,Engineering,Speciality Products,Male,Latino,64,169509,Brazil,Manaus,Older Adulthood,8.024657534,200021
E01921,Sarah Daniels,Sr. Manger,Accounting,Manufacturing,Female,Caucasian,55,138521,United States,Miami,Middle Adulthood,14.65479452,152373
E03664,Aria Castro,Engineering Manager,Engineering,Speciality Products,Female,Latino,45,113873,Brazil,Rio de Janerio,Middle Adulthood,11.47671233,126399
E00813,Autumn Joseph,Enterprise Architect,IT,Corporate,Female,Black,39,73317,United States,Miami,Middle Adulthood,7.320547945,73317
E00870,Evelyn Liang,Service Desk Analyst,IT,Speciality Products,Female,Asian,40,69096,United States,Seattle,Middle Adulthood,12.19178082,69096
E04167,Henry Alvarez,Sr. Business Partner,Human Resources,Manufacturing,Male,Latino,48,87158,Brazil,Manaus,Middle Adulthood,20.40273973,87158
E00245,Benjamin Delgado,Test Engineer,Engineering,Corporate,Male,Latino,64,70778,United States,Austin,Older Adulthood,32.94794521,70778
E00976,Zoe Rodriguez,Director,Human Resources,Speciality Products,Female,Latino,65,153938,United States,Phoenix,Older Adulthood,21.29041096,184726
E04112,Axel Chu,Systems Analyst,IT,Research & Development,Male,Asian,43,59888,China,Beijing,Middle Adulthood,7.334246575,59888
E01807,Cameron Evans,Test Engineer,Engineering,Corporate,Male,Caucasian,50,63098,United States,Columbus,Middle Adulthood,6.723287671,63098
E04103,Isabella Soto,Vice President,Finance,Corporate,Female,Latino,27,255369,Brazil,Sao Paulo,Young Adulthood,3.715068493,339641
E01412,Eva Jenkins,Sr. Manger,Human Resources,Manufacturing,Female,Black,55,142318,United States,Chicago,Middle Adulthood,20.82191781,162243
E04386,Cameron Powell,Business Partner,Human Resources,Manufacturing,Male,Black,41,49186,United States,Austin,Middle Adulthood,21.04657534,49186
E01232,Samantha Foster,Vice President,Human Resources,Research & Development,Female,Black,34,220937,United States,Austin,Young Adulthood,6.104109589,304893
E04572,Jade Li,Director,IT,Speciality Products,Female,Asian,47,183156,United States,Seattle,Middle Adulthood,12.85753425,238103
E02747,Kinsley Acosta,Vice President,IT,Speciality Products,Female,Latino,32,192749,United States,Chicago,Young Adulthood,5.115068493,252501
E01064,Clara Kang,Sr. Manger,IT,Manufacturing,Female,Asian,39,135325,United States,Phoenix,Middle Adulthood,8.443835616,154271
E00178,Harper Alexander,Sr. Analyst,Sales,Speciality Products,Female,Caucasian,26,79356,United States,Phoenix,Young Adulthood,5.887671233,79356
E01091,Carter Reed,Development Engineer,Engineering,Manufacturing,Male,Black,40,74412,United States,Seattle,Middle Adulthood,20.16712329,74412
E01525,Charlotte Ruiz,Computer Systems Manager,IT,Manufacturing,Female,Latino,32,61886,Brazil,Rio de Janerio,Young Adulthood,7.920547945,67456
E01309,Everleigh Jiang,Director,Accounting,Research & Development,Female,Asian,58,173071,United States,Columbus,Middle Adulthood,22.31780822,223262
E02378,Audrey Smith,Field Engineer,Engineering,Research & Development,Female,Caucasian,58,70189,United States,Columbus,Middle Adulthood,29.86849315,70189
E04127,Emery Acosta,Vice President,Sales,Research & Development,Female,Latino,42,181452,United States,Columbus,Middle Adulthood,11.98082192,235888
E02072,Charles Robinson,HRIS Analyst,Human Resources,Speciality Products,Male,Caucasian,26,70369,United States,Seattle,Young Adulthood,4.476712329,70369
E02555,Landon Lopez,Sr. Analyst,Accounting,Manufacturing,Male,Latino,38,78056,Brazil,Sao Paulo,Young Adulthood,17.16986301,78056
E00187,Miles Mehta,Director,Finance,Research & Development,Male,Asian,64,189933,United States,Miami,Older Adulthood,29.35342466,233618
E04332,Ezra Simmons,Automation Engineer,Engineering,Speciality Products,Male,Caucasian,38,78237,United States,Phoenix,Young Adulthood,15.18082192,78237
E02062,Nora Santiago,Analyst,Accounting,Research & Development,Female,Latino,55,48687,Brazil,Rio de Janerio,Middle Adulthood,29.20273973,48687
E00034,Caroline Herrera,Sr. Manger,Marketing,Manufacturing,Female,Latino,45,121065,Brazil,Rio de Janerio,Middle Adulthood,21.04931507,139225
E00273,David Owens,Sr. Analyst,Sales,Corporate,Male,Black,43,94246,United States,Austin,Middle Adulthood,21.39178082,94246
E00691,Avery Yee,Systems Analyst,IT,Manufacturing,Female,Asian,34,44614,United States,Miami,Young Adulthood,9.284931507,44614
E01403,Xavier Park,Vice President,IT,Research & Development,Male,Asian,40,234469,China,Chengdu,Middle Adulthood,4.816438356,307154
E03438,Asher Morales,Automation Engineer,Engineering,Research & Development,Male,Latino,52,88272,Brazil,Sao Paulo,Middle Adulthood,5.147945205,88272
E04136,Mason Cao,Analyst II,Finance,Corporate,Male,Asian,52,74449,China,Beijing,Middle Adulthood,7.969863014,74449
E02944,Joshua Fong,Vice President,Engineering,Speciality Products,Male,Asian,47,222941,China,Beijing,Middle Adulthood,13.23287671,309888
E03300,Maria Chin,Analyst,Marketing,Manufacturing,Female,Asian,65,50341,China,Beijing,Older Adulthood,11.93972603,50341
E00078,Eva Garcia,HRIS Analyst,Human Resources,Corporate,Female,Latino,31,72235,Brazil,Manaus,Young Adulthood,4.394520548,72235
E00825,Anna Molina,Sr. Analyst,Accounting,Corporate,Female,Latino,41,70165,United States,Columbus,Middle Adulthood,9.22739726,70165
E04972,Logan Bryant,Sr. Manger,Marketing,Speciality Products,Male,Caucasian,30,148485,United States,Miami,Young Adulthood,5.126027397,170758
E03941,Isla Han,Technical Architect,IT,Manufacturing,Female,Asian,58,86089,United States,Chicago,Middle Adulthood,20.21917808,86089
E02148,Christopher Vega,Engineering Manager,Engineering,Research & Development,Male,Latino,54,106313,United States,Chicago,Middle Adulthood,17.86027397,122260
E02252,Lillian Park,Analyst,Marketing,Research & Development,Female,Asian,40,46833,China,Chengdu,Middle Adulthood,4.520547945,46833
E03096,Kennedy Zhang,Director,Finance,Research & Development,Female,Asian,63,155320,China,Chongqing,Middle Adulthood,24.8630137,181724
E04800,Eli Han,Sr. Analyst,Accounting,Manufacturing,Male,Asian,40,89984,China,Chengdu,Middle Adulthood,9.635616438,89984
E02838,Julia Pham,Engineering Manager,Engineering,Speciality Products,Female,Asian,65,83756,China,Shanghai,Older Adulthood,19.47671233,95482
E02980,Hailey Shin,Director,Human Resources,Corporate,Female,Asian,57,176324,China,Shanghai,Middle Adulthood,8.860273973,216879
E04477,Connor Grant,Sr. Analyst,Accounting,Speciality Products,Male,Caucasian,27,74077,United States,Seattle,Young Adulthood,3.887671233,74077
E04348,Natalia Owens,Manager,Human Resources,Manufacturing,Female,Caucasian,31,104162,United States,Austin,Young Adulthood,4.621917808,111453
E01638,Maria He,IT Systems Architect,IT,Corporate,Female,Asian,45,82162,China,Beijing,Middle Adulthood,15.02191781,82162
E03419,Jade Yi,Account Representative,Sales,Speciality Products,Female,Asian,47,63880,China,Chongqing,Middle Adulthood,10.15342466,63880
E04222,Quinn Xiong,Test Engineer,Engineering,Research & Development,Female,Asian,55,73248,United States,Columbus,Middle Adulthood,11.9890411,73248
E04126,Dominic Baker,Sr. Analyst,Accounting,Manufacturing,Male,Black,51,91853,United States,Chicago,Middle Adulthood,4.898630137,91853
E01896,Adam Nelson,Director,Finance,Speciality Products,Male,Caucasian,25,168014,United States,Chicago,Young Adulthood,5.635616438,213378
E03018,Autumn Reed,Development Engineer,Engineering,Corporate,Female,Caucasian,37,70770,United States,Miami,Young Adulthood,7.961643836,70770
E03325,Robert Edwards,HRIS Analyst,Human Resources,Corporate,Male,Caucasian,62,50825,United States,Seattle,Middle Adulthood,20.90410959,50825
E04037,Roman Martinez,Sr. Manger,Finance,Research & Development,Male,Latino,31,145846,Brazil,Manaus,Young Adulthood,9.95890411,167723
E01902,Eleanor Li,Sr. Manger,Human Resources,Research & Development,Female,Asian,64,125807,United States,Chicago,Older Adulthood,21.75068493,144678
E01466,Connor Vang,Analyst,Sales,Speciality Products,Male,Asian,25,46845,United States,Miami,Young Adulthood,4.098630137,46845
E02038,Ellie Chung,Sr. Manger,Marketing,Corporate,Female,Asian,59,157969,China,Chongqing,Middle Adulthood,17.01917808,173766
E03474,Violet Hall,Solutions Architect,IT,Corporate,Female,Caucasian,40,97807,United States,Chicago,Middle Adulthood,14.7369863,97807
E02744,Dylan Padilla,HRIS Analyst,Human Resources,Manufacturing,Male,Latino,31,73854,United States,Seattle,Young Adulthood,9.736986301,73854
E00702,Nathan Pham,Sr. Manger,Accounting,Manufacturing,Male,Asian,45,149537,United States,Seattle,Middle Adulthood,18.73424658,170472
E03081,Ayla Brown,Sr. Manger,Sales,Manufacturing,Female,Caucasian,49,128303,United States,Phoenix,Middle Adulthood,12.3890411,147548
E01281,Isaac Mitchell,Network Architect,IT,Speciality Products,Male,Black,46,67374,United States,Austin,Middle Adulthood,20.24109589,67374
E04029,Jayden Jimenez,Manager,Human Resources,Corporate,Male,Latino,46,102167,Brazil,Rio de Janerio,Middle Adulthood,13.94794521,108297
E01116,Jaxon Tran,Sr. Manger,Sales,Manufacturing,Male,Asian,45,151027,China,Shanghai,Middle Adulthood,17.99726027,166130
E01753,Connor Fong,Manager,Accounting,Speciality Products,Male,Asian,40,120905,United States,Seattle,Middle Adulthood,7.545205479,126950
E04072,Emery Mitchell,Vice President,Finance,Manufacturing,Female,Caucasian,48,231567,United States,Seattle,Middle Adulthood,7.254794521,314931
E00672,Landon Luu,Vice President,IT,Research & Development,Male,Asian,31,215388,United States,Miami,Young Adulthood,10.14794521,286466
E04419,Sophia Ahmed,Sr. Manger,Sales,Speciality Products,Female,Asian,30,127972,United States,Seattle,Young Adulthood,10.22739726,142049
E00467,Sofia Dinh,Operations Engineer,Engineering,Corporate,Female,Asian,55,80701,United States,Chicago,Middle Adulthood,30.09863014,80701
E00365,Jonathan Patel,Manager,Marketing,Corporate,Male,Asian,28,115417,China,Shanghai,Young Adulthood,5.583561644,122342
E00306,Piper Patterson,Quality Engineer,Engineering,Corporate,Female,Caucasian,45,88045,United States,Chicago,Middle Adulthood,6.208219178,88045
E03292,Cora Evans,Computer Systems Manager,IT,Speciality Products,Female,Black,45,86478,United States,Austin,Middle Adulthood,7.44109589,91667
E04779,Cameron Young,Vice President,Engineering,Manufacturing,Male,Caucasian,63,180994,United States,Seattle,Middle Adulthood,9.62739726,251582
E00501,Melody Ho,Analyst II,Finance,Research & Development,Female,Asian,55,64494,United States,Columbus,Middle Adulthood,17.76164384,64494
E01132,Aiden Bryant,Account Representative,Sales,Manufacturing,Male,Black,47,70122,United States,Columbus,Middle Adulthood,22.87945205,70122
E00556,Grayson Walker,Director,Accounting,Manufacturing,Male,Caucasian,29,181854,United States,Seattle,Young Adulthood,8.536986301,234592
E00311,Scarlett Figueroa,Business Partner,Human Resources,Speciality Products,Female,Latino,34,52811,United States,Miami,Young Adulthood,8.868493151,52811
E04567,Madeline Hoang,Systems Analyst,IT,Research & Development,Female,Asian,28,50111,China,Chengdu,Young Adulthood,5.857534247,50111
E04378,Ezra Simmons,Network Administrator,IT,Manufacturing,Male,Black,31,71192,United States,Austin,Young Adulthood,9.326027397,71192
E03251,Ruby Medina,Director,Sales,Manufacturing,Female,Latino,50,155351,United States,Seattle,Middle Adulthood,6.709589041,186421
E03167,Luke Zheng,Director,Human Resources,Speciality Products,Male,Asian,39,161690,China,Beijing,Middle Adulthood,18.77260274,208580
E03347,Rylee Dinh,Development Engineer,Engineering,Speciality Products,Female,Asian,35,60132,China,Chongqing,Young Adulthood,8.561643836,60132
E03908,Miles Evans,Network Architect,IT,Manufacturing,Male,Caucasian,54,87216,United States,Miami,Middle Adulthood,30.87671233,87216
E01351,Leo Owens,Systems Analyst,IT,Corporate,Male,Caucasian,47,50069,United States,Seattle,Middle Adulthood,5.361643836,50069
E02681,Caroline Owens,Director,IT,Speciality Products,Female,Caucasian,26,151108,United States,Phoenix,Young Adulthood,4.104109589,184352
E03807,Kennedy Do,Computer Systems Manager,IT,Manufacturing,Female,Asian,42,67398,United States,Phoenix,Middle Adulthood,19.89315068,72116
E00422,Jade Acosta,Development Engineer,Engineering,Research & Development,Female,Latino,47,68488,United States,Seattle,Middle Adulthood,10.01643836,68488
E00265,Mila Vasquez,Quality Engineer,Engineering,Manufacturing,Female,Latino,60,92932,United States,Columbus,Middle Adulthood,27.14794521,92932
E04601,Allison Ayala,Analyst,Finance,Corporate,Female,Latino,36,43363,United States,Austin,Young Adulthood,16.18356164,43363
E04816,Jace Zhang,Service Desk Analyst,IT,Speciality Products,Male,Asian,31,95963,China,Chengdu,Young Adulthood,8.550684932,95963
E02147,Allison Medina,Manager,Finance,Speciality Products,Female,Latino,55,111038,Brazil,Sao Paulo,Middle Adulthood,15.35342466,116590
E02914,Maria Wilson,Vice President,Engineering,Research & Development,Female,Caucasian,51,200246,United States,Columbus,Middle Adulthood,29.23561644,268330
E03268,Everly Coleman,Vice President,IT,Corporate,Female,Caucasian,48,194871,United States,Columbus,Middle Adulthood,10.54246575,263076
E03972,Jordan Gomez,Sr. Analyst,Accounting,Research & Development,Male,Latino,58,98769,Brazil,Rio de Janerio,Middle Adulthood,30.98356164,98769
E02189,Isla Chavez,Account Representative,Sales,Research & Development,Female,Latino,29,65334,Brazil,Rio de Janerio,Young Adulthood,7.293150685,65334
E04290,Hannah Gomez,Technical Architect,IT,Manufacturing,Female,Latino,25,83934,United States,Miami,Young Adulthood,4.312328767,83934
E03630,Jacob Davis,Director,Accounting,Research & Development,Male,Caucasian,36,150399,United States,Chicago,Young Adulthood,9,192511
E00432,Eli Gupta,Director,Human Resources,Research & Development,Male,Asian,37,160280,China,Beijing,Young Adulthood,13.29589041,190733
E03045,Andrew Huynh,Business Partner,Human Resources,Speciality Products,Male,Asian,57,54051,United States,Miami,Middle Adulthood,28.36438356,54051
E01924,Anna Gutierrez,Director,Engineering,Research & Development,Female,Latino,59,150699,Brazil,Sao Paulo,Middle Adulthood,22.39726027,194402
E04877,Samuel Vega,Analyst II,Marketing,Speciality Products,Male,Latino,37,69570,United States,Miami,Young Adulthood,12.43287671,69570
E02770,Liliana Do,Service Desk Analyst,IT,Manufacturing,Female,Asian,30,86774,China,Chengdu,Young Adulthood,6.432876712,86774
E04590,Isaac Sanders,HRIS Analyst,Human Resources,Manufacturing,Male,Caucasian,49,57606,United States,Miami,Middle Adulthood,24.44383562,57606
E01977,Raelynn Gupta,Sr. Manger,Finance,Corporate,Female,Asian,48,125730,China,Chongqing,Middle Adulthood,23.99178082,139560
E01378,Genesis Xiong,System Administrator ,IT,Research & Development,Female,Asian,51,64170,United States,Columbus,Middle Adulthood,13.5260274,64170
E04224,Lucas Ramos,Sr. Business Partner,Human Resources,Speciality Products,Male,Latino,56,72303,United States,Phoenix,Middle Adulthood,27.63013699,72303
E03423,Santiago f Gonzalez,Manager,Sales,Research & Development,Male,Latino,36,105891,United States,Seattle,Young Adulthood,13.10958904,113303
E01584,Henry Zhu,Vice President,Marketing,Speciality Products,Male,Asian,38,255230,United States,Austin,Young Adulthood,4.021917808,347113
E00788,Emily Contreras,Analyst II,Sales,Manufacturing,Female,Latino,56,59591,Brazil,Sao Paulo,Middle Adulthood,33.23561644,59591
E00207,Hailey Lai,Vice President,Human Resources,Manufacturing,Female,Asian,52,187048,China,Chengdu,Middle Adulthood,13.11780822,246903
E00834,Vivian Guzman,Analyst II,Finance,Speciality Products,Female,Latino,53,58605,United States,Phoenix,Middle Adulthood,23.57534247,58605
E04571,Hadley Contreras,Director,Engineering,Corporate,Female,Latino,60,178502,United States,Austin,Middle Adulthood,8.663013699,214202
E02652,Nathan Sun,Manager,Accounting,Speciality Products,Male,Asian,63,103724,China,Shanghai,Middle Adulthood,10.10136986,108910
E02693,Grace Campos,Director,Engineering,Research & Development,Female,Latino,37,156277,Brazil,Manaus,Young Adulthood,17.46027397,190658
E03359,Autumn Ortiz,Field Engineer,Engineering,Research & Development,Female,Latino,30,87744,Brazil,Sao Paulo,Young Adulthood,7.712328767,87744
E00399,Connor Walker,Analyst II,Finance,Manufacturing,Male,Caucasian,30,54714,United States,Columbus,Young Adulthood,6.463013699,54714
E02971,Mia Wu,Enterprise Architect,IT,Corporate,Female,Asian,45,99169,China,Beijing,Middle Adulthood,12.02739726,99169
E03327,Julia Luong,Sr. Manger,Accounting,Research & Development,Female,Asian,55,142628,China,Chongqing,Middle Adulthood,19.21369863,159743
E00900,Eleanor Delgado,Sr. Analyst,Marketing,Manufacturing,Female,Latino,33,75869,Brazil,Sao Paulo,Young Adulthood,11.35616438,75869
E00836,Addison Roberts,Network Architect,IT,Manufacturing,Female,Caucasian,65,60985,United States,Seattle,Older Adulthood,7.306849315,60985
E03854,Camila Li,Sr. Manger,IT,Research & Development,Female,Asian,60,126911,China,Shanghai,Middle Adulthood,15.11780822,139602
E04729,Ezekiel Fong,Vice President,Sales,Research & Development,Male,Asian,56,216949,China,Shanghai,Middle Adulthood,21.53150685,286373
E00360,Dylan Thao,Director,Engineering,Manufacturing,Male,Asian,53,168510,United States,Seattle,Middle Adulthood,12.86849315,217378
E02284,Josephine Salazar,Field Engineer,Engineering,Speciality Products,Female,Latino,36,85870,Brazil,Sao Paulo,Young Adulthood,9.473972603,85870
E00181,Genesis Hu,Sr. Analyst,Marketing,Corporate,Female,Asian,46,86510,China,Beijing,Middle Adulthood,23.64383562,86510
E04168,Mila Juarez,Manager,Sales,Speciality Products,Female,Latino,38,119647,Brazil,Sao Paulo,Young Adulthood,7.950684932,130415
E02861,Daniel Perry,Enterprise Architect,IT,Research & Development,Male,Caucasian,62,80921,United States,Columbus,Middle Adulthood,24.39726027,80921
E01357,Paisley Hunter,Engineering Manager,Engineering,Research & Development,Female,Caucasian,61,98110,United States,Chicago,Middle Adulthood,15.63835616,110864
E04387,Everleigh White,Network Architect,IT,Speciality Products,Female,Caucasian,59,86831,United States,Phoenix,Middle Adulthood,7.871232877,86831
E03090,Penelope Choi,Technical Architect,IT,Speciality Products,Female,Asian,49,72826,China,Beijing,Middle Adulthood,14.98630137,72826
E03591,Piper Sun,Director,Marketing,Manufacturing,Female,Asian,64,171217,United States,Seattle,Older Adulthood,14.55616438,203748
E03328,Lucy Johnson,Manager,IT,Research & Development,Female,Caucasian,57,103058,United States,Columbus,Middle Adulthood,5.350684932,110272
E04937,Ian Ngo,Manager,Sales,Speciality Products,Male,Asian,52,117062,United States,Phoenix,Middle Adulthood,11.07671233,125256
E00515,Joseph Vazquez,Sr. Manger,Accounting,Speciality Products,Male,Latino,40,159031,United States,Miami,Middle Adulthood,6.610958904,174934
E01241,Hadley Guerrero,Sr. Manger,IT,Research & Development,Female,Latino,49,125086,Brazil,Sao Paulo,Middle Adulthood,21.64657534,137595
E03255,Jose Brown,System Administrator ,IT,Speciality Products,Male,Caucasian,43,67976,United States,Seattle,Middle Adulthood,9.408219178,67976
E01711,Benjamin Ford,Analyst II,Finance,Speciality Products,Male,Caucasian,31,74215,United States,Phoenix,Young Adulthood,4.364383562,74215
E00500,Henry Shah,Director,Accounting,Manufacturing,Male,Asian,55,187389,China,Chengdu,Middle Adulthood,15.23561644,234236
E04972,Ivy Daniels,Sr. Manger,Human Resources,Speciality Products,Female,Caucasian,41,131841,United States,Columbus,Middle Adulthood,16.86027397,148980
E02728,Thomas Chang,Sr. Analyst,Accounting,Research & Development,Male,Asian,34,97231,China,Beijing,Young Adulthood,14.11232877,97231
E04749,Caroline Phan,Sr. Manger,Finance,Corporate,Female,Asian,41,155004,United States,Austin,Middle Adulthood,21.48219178,173604
E02023,Maverick Mehta,Systems Analyst,IT,Manufacturing,Male,Asian,40,41859,United States,Seattle,Middle Adulthood,18.10410959,41859
E03166,Austin Edwards,IT Coordinator,IT,Manufacturing,Male,Black,42,52733,United States,Chicago,Middle Adulthood,18.95068493,52733
E02599,Daniel Huang,Vice President,Human Resources,Corporate,Male,Asian,31,250953,United States,Columbus,Young Adulthood,10.00273973,336277
E01014,Lucas Phan,Director,Marketing,Research & Development,Male,Asian,49,191807,China,Chongqing,Middle Adulthood,26.55068493,232086
E04529,Gabriel Yu,Technical Architect,IT,Speciality Products,Male,Asian,42,64677,China,Chongqing,Middle Adulthood,11.2,64677
E00085,Mason Watson,Sr. Manger,IT,Corporate,Male,Caucasian,46,130274,United States,Chicago,Middle Adulthood,20.97808219,144604
E00632,Angel Chang,Network Architect,IT,Research & Development,Male,Asian,37,96331,China,Shanghai,Young Adulthood,8.161643836,96331
E02108,Madeline Coleman,Sr. Manger,Finance,Research & Development,Female,Caucasian,51,150758,United States,Chicago,Middle Adulthood,19.35890411,170357
E03802,Thomas Vazquez,Director,Engineering,Corporate,Male,Latino,46,173629,Brazil,Sao Paulo,Middle Adulthood,11.12876712,210091
E03685,Silas Hunter,Solutions Architect,IT,Corporate,Male,Black,55,62174,United States,Chicago,Middle Adulthood,27.34794521,62174
E01089,Nicholas Brooks,Analyst II,Accounting,Manufacturing,Male,Caucasian,43,56555,United States,Phoenix,Middle Adulthood,7.871232877,56555
E03988,Dominic Thomas,Analyst II,Marketing,Manufacturing,Male,Caucasian,48,74655,United States,Austin,Middle Adulthood,19.93972603,74655
E00401,Wesley Adams,System Administrator ,IT,Corporate,Male,Caucasian,48,93017,United States,Seattle,Middle Adulthood,22.0739726,93017
E03429,Ian Wu,Sr. Analyst,Marketing,Manufacturing,Male,Asian,51,82300,China,Chengdu,Middle Adulthood,13.39178082,82300
E02417,Alice Young,Automation Engineer,Engineering,Research & Development,Female,Caucasian,46,91621,United States,Chicago,Middle Adulthood,17.61643836,91621
