Date,Dispensed Pharmacy,Dispensed Region,Distribution Method,Order Priority,Ship Date,Distribution Costs,Number of Records,Order ID
8/27/2007,Lynn Smith,West,Wholesaler,Critical,10/8/2010,53.03,1,"21,985"
8/27/2007,Dan Reichenbach,Central,Custom Order,Low,10/9/2010,5.16,1,"13,927"
8/28/2007,Joni Wasserman,South,DTP,Low,10/10/2010,9.4,1,"10,658"
8/28/2007,Neil Knudson,West,DTP,Medium,10/11/2010,5.02,1,"32,611"
8/28/2007,Neil Knudson,West,Custom Order,Medium,10/12/2010,5.5,1,"32,611"
8/28/2007,Neil Knudson,West,Wholesaler,Medium,10/13/2010,30,1,"32,611"
8/28/2007,Delfina Latchford,East,DTP,High,10/14/2010,17.48,1,"15,108"
8/28/2007,Dianna Arnett,South,DTP,High,10/15/2010,5.66,1,"47,813"
8/28/2007,Neil Knudson,West,DTP,Medium,10/16/2010,1.49,1,"32,611"
8/28/2007,Joni Wasserman,South,DTP,Low,10/17/2010,1.99,1,"10,658"
8/28/2007,Joni Wasserman,South,DTP,Low,10/18/2010,8.99,1,"10,658"
8/29/2007,Patrick O'Donnell,West,Custom Order,Medium,10/19/2010,6.57,1,"21,479"
8/29/2007,Roy Skaria,Central,DTP,Medium,10/20/2010,4.81,1,"37,281"
8/29/2007,Heather Jas,West,DTP,Not Specified,10/21/2010,6.22,1,"33,732"
8/29/2007,Jennifer Patt,South,DTP,Medium,10/22/2010,69,1,"47,877"
8/29/2007,Jennifer Patt,South,Wholesaler,Medium,10/23/2010,69.64,1,"47,877"
8/29/2007,Jennifer Patt,South,DTP,Medium,10/24/2010,3.26,1,"47,877"
8/29/2007,Matthew Clasen,South,DTP,Low,10/25/2010,5.3,1,"33,569"
8/30/2007,Stuart Van,Central,DTP,Low,10/26/2010,0.5,1,"6,727"
8/30/2007,Deanra Eno,South,DTP,Low,10/27/2010,14.37,1,"18,402"
8/30/2007,Deanra Eno,South,Wholesaler,Low,10/28/2010,69.55,1,"18,402"
8/31/2007,Sara Luxemburg,West,DTP,Not Specified,10/29/2010,2.36,1,"23,652"
9/1/2007,Steve Chapman,South,DTP,Low,10/30/2010,6.15,1,"14,756"
9/1/2007,Michael Kennedy,Central,DTP,Not Specified,10/31/2010,5.14,1,"53,123"
9/1/2007,Chuck Clark,East,DTP,Not Specified,11/1/2010,1.99,1,"20,128"
9/1/2007,Chuck Clark,East,DTP,Not Specified,11/2/2010,19.99,1,"20,128"
9/1/2007,Frank Merwin,West,DTP,Medium,11/3/2010,1.34,1,"47,974"
9/1/2007,Sanjit Jacobs,West,DTP,Medium,11/4/2010,5.19,1,"1,031"
9/1/2007,Sandra Flanagan,West,DTP,Not Specified,11/5/2010,1.92,1,"20,390"
9/1/2007,Sandra Flanagan,West,Custom Order,Not Specified,11/6/2010,7.53,1,"20,390"
9/2/2007,David Kendrick,South,Custom Order,Critical,11/7/2010,56.2,1,"45,988"
9/2/2007,Joseph Airdo,Central,DTP,High,11/8/2010,4.86,1,"54,464"
9/2/2007,Joseph Airdo,Central,DTP,High,11/9/2010,10.49,1,"54,464"
9/2/2007,Keith Dawkins,Central,DTP,High,11/10/2010,3.63,1,"14,055"
9/2/2007,Ralph Knight,East,DTP,Critical,11/11/2010,1.72,1,"27,555"
9/2/2007,Aleksandra Gannaway,West,DTP,Not Specified,11/12/2010,5.03,1,"47,173"
9/2/2007,Katherine Murray,West,DTP,Not Specified,11/13/2010,5.67,1,"1,985"
9/2/2007,Katherine Murray,West,Wholesaler,Not Specified,11/14/2010,14.7,1,"1,985"
9/3/2007,Amy Cox,West,DTP,Critical,11/15/2010,2.46,1,"54,151"
9/3/2007,Stephanie Ulpright,West,DTP,Not Specified,11/16/2010,20.99,1,"51,619"
9/3/2007,Stephanie Ulpright,West,Wholesaler,Not Specified,11/17/2010,58.92,1,"51,619"
9/3/2007,Stephanie Ulpright,West,DTP,Not Specified,11/18/2010,7.01,1,"51,619"
9/4/2007,Bobby Odegard,East,DTP,Not Specified,11/19/2010,4.8,1,"52,357"
9/5/2007,Sylvia Foulston,East,DTP,Critical,11/20/2010,7.78,1,"26,567"
9/5/2007,Christine Abelman,Central,DTP,Medium,11/21/2010,25.12,1,"25,824"
9/5/2007,Sylvia Foulston,East,DTP,Critical,11/22/2010,8.08,1,"26,567"
9/5/2007,Sylvia Foulston,East,DTP,Critical,11/23/2010,8.99,1,"26,567"
9/5/2007,Bill Eplett,South,DTP,Not Specified,11/24/2010,5.09,1,"42,342"
9/5/2007,Christine Abelman,Central,Wholesaler,Medium,11/25/2010,85.63,1,"25,824"
9/5/2007,Christine Abelman,Central,DTP,Medium,11/26/2010,4.9,1,"25,824"
9/5/2007,Aleksandra Gannaway,West,DTP,Medium,11/27/2010,8.99,1,"11,680"
9/5/2007,Bill Eplett,South,Wholesaler,Not Specified,11/28/2010,61.76,1,"42,342"
9/5/2007,Sylvia Foulston,East,Custom Order,Critical,11/29/2010,8.99,1,"26,567"
9/6/2007,Evan Minnotte,Central,Wholesaler,Not Specified,11/30/2010,14.7,1,"49,990"
9/6/2007,Mike Pelletier,East,DTP,High,12/1/2010,3.97,1,"34,311"
9/6/2007,Lauren Leatherbury,East,DTP,Not Specified,12/2/2010,5.37,1,"51,714"
9/6/2007,Sharelle Roach,South,DTP,Medium,12/3/2010,0.99,1,"51,968"
9/6/2007,Speros Goranitis,Central,Custom Order,High,12/4/2010,24.49,1,"36,867"
9/6/2007,Speros Goranitis,Central,DTP,High,12/5/2010,0.7,1,"36,867"
9/6/2007,Mike Pelletier,East,DTP,High,12/6/2010,9.69,1,"34,311"
9/6/2007,Sarah Bern,West,DTP,Low,12/7/2010,1.49,1,"11,392"
9/7/2007,David Kendrick,South,DTP,Not Specified,12/8/2010,12.62,1,"38,913"
9/7/2007,Shaun Weien,East,DTP,Critical,12/9/2010,4.78,1,"39,845"
9/7/2007,Sylvia Foulston,East,DTP,Critical,12/10/2010,8.88,1,"48,167"
9/7/2007,Sylvia Foulston,East,Wholesaler,Critical,12/11/2010,60,1,"48,167"
9/7/2007,Christine Sundaresam,West,DTP,Low,12/12/2010,2.99,1,"9,668"
9/7/2007,Craig Carroll,West,DTP,Low,12/13/2010,6.86,1,"48,775"
9/7/2007,Sylvia Foulston,East,Wholesaler,Critical,12/14/2010,70.2,1,"48,167"
9/8/2007,Dan Campbell,South,DTP,Not Specified,12/15/2010,0.91,1,"10,052"
9/8/2007,Dan Campbell,South,DTP,Not Specified,12/16/2010,11.56,1,"10,052"
9/9/2007,Rick Hansen,South,DTP,Critical,12/17/2010,2.36,1,"37,926"
9/9/2007,Christopher Martinez,Central,Custom Order,Low,12/18/2010,2.99,1,"5,317"
9/9/2007,Christopher Martinez,Central,DTP,Low,12/19/2010,5.26,1,"5,317"
9/9/2007,Christopher Martinez,Central,Wholesaler,Low,12/20/2010,53.48,1,"5,317"
9/10/2007,Sung Shariari,South,DTP,Critical,12/21/2010,0.7,1,"55,648"
9/11/2007,Alan Dominguez,West,DTP,Not Specified,12/22/2010,2.5,1,"3,746"
9/11/2007,Alan Dominguez,West,DTP,Not Specified,12/23/2010,5.79,1,"3,746"
9/11/2007,Harold Ryan,East,Custom Order,Critical,12/24/2010,12.65,1,"43,590"
9/12/2007,Cindy Stewart,West,Custom Order,Critical,12/25/2010,0.5,1,"12,099"
9/12/2007,Grant Carroll,East,DTP,High,12/26/2010,5.03,1,"13,280"
9/12/2007,Grant Carroll,East,DTP,High,12/27/2010,7.46,1,"13,280"
9/12/2007,Tamara Willingham,East,DTP,Medium,12/28/2010,1.49,1,"44,836"
9/12/2007,Helen Wasserman,South,DTP,Critical,12/29/2010,5.29,1,"44,487"
9/12/2007,Helen Wasserman,South,Custom Order,Critical,12/30/2010,9.17,1,"10,629"
9/12/2007,Helen Wasserman,South,DTP,Critical,12/31/2010,4.53,1,"44,487"
9/12/2007,Helen Wasserman,South,DTP,Critical,1/1/2011,10.16,1,"10,629"
9/12/2007,Paul MacIntyre,South,DTP,Critical,1/2/2011,2.4,1,"56,901"
9/12/2007,Cindy Stewart,West,DTP,Critical,1/3/2011,1.02,1,"12,099"
9/13/2007,Darrin Sayre,East,DTP,Not Specified,1/4/2011,0.5,1,"49,891"
9/13/2007,Eugene Hildebrand,Central,DTP,Critical,1/5/2011,35,1,"41,221"
9/13/2007,Amy Cox,West,DTP,Not Specified,1/6/2011,4.8,1,"38,145"
9/13/2007,Sally Matthias,East,DTP,Critical,1/7/2011,16.92,1,"1,313"
9/13/2007,Darrin Sayre,East,DTP,Not Specified,1/8/2011,1.49,1,"49,891"
9/13/2007,Amy Cox,West,DTP,Not Specified,1/9/2011,1.49,1,"38,145"
9/13/2007,Patrick Ryan,South,DTP,Low,1/10/2011,0.99,1,"40,928"
9/13/2007,Adam Shillingsburg,South,DTP,Low,1/11/2011,8.99,1,"9,888"
9/14/2007,Nick Radford,South,DTP,Medium,1/12/2011,28.06,1,"46,721"
9/14/2007,Neil Knudson,West,DTP,Critical,1/13/2011,8.99,1,"4,772"
9/14/2007,Michael Grace,South,Custom Order,Medium,1/14/2011,9.47,1,"10,528"
9/14/2007,Skye Norling,East,DTP,Critical,1/15/2011,19.99,1,"29,860"
9/15/2007,Jim Mitchum,Central,DTP,Not Specified,1/16/2011,4.7,1,"38,080"
9/15/2007,Muhammed Yedwab,East,DTP,Medium,1/17/2011,3.99,1,"7,269"
9/15/2007,Debra Catini,West,DTP,High,1/18/2011,1.99,1,"7,297"
9/15/2007,Debra Catini,West,DTP,High,1/19/2011,19.99,1,"7,297"
9/15/2007,Debra Catini,West,Wholesaler,High,1/20/2011,76.37,1,"7,297"
9/15/2007,Tracy Blumstein,West,DTP,Medium,1/21/2011,4.99,1,"25,831"
9/16/2007,Eric Hoffmann,Central,DTP,Critical,1/22/2011,11.1,1,"53,412"
9/16/2007,Carlos Soltero,Central,DTP,Critical,1/23/2011,8.78,1,"35,558"
9/16/2007,Mick Brown,West,DTP,Medium,1/24/2011,7.87,1,"46,437"
9/16/2007,Jeremy Farry,West,DTP,Not Specified,1/25/2011,1.35,1,"44,352"
9/16/2007,Ed Jacobs,South,DTP,High,1/26/2011,7.72,1,"18,855"
9/17/2007,Christina DeMoss,West,Custom Order,Low,1/27/2011,69,1,"54,243"
9/17/2007,Don Miller,East,DTP,Low,1/28/2011,16.87,1,"17,764"
9/17/2007,Mark Cousins,East,DTP,Low,1/29/2011,52.2,1,"27,330"
9/17/2007,Harold Dahlen,Central,DTP,Not Specified,1/30/2011,1.39,1,"43,974"
9/17/2007,Erin Mull,South,DTP,Not Specified,1/31/2011,19.99,1,"21,121"
9/17/2007,Philip Brown,West,DTP,High,2/1/2011,5.19,1,"34,880"
9/17/2007,Melanie Page,West,Custom Order,High,2/2/2011,7.42,1,"10,371"
9/17/2007,Dan Campbell,South,DTP,High,2/3/2011,17.8,1,"57,734"
9/17/2007,Mark Cousins,East,Wholesaler,Low,2/4/2011,14.7,1,"27,330"
9/18/2007,Linda Cazamias,West,DTP,Critical,2/5/2011,7.11,1,"29,410"
9/18/2007,Ben Ferrer,West,DTP,Medium,2/6/2011,9.23,1,"38,915"
9/18/2007,Pete Kriz,Central,DTP,Low,2/7/2011,9.2,1,"31,619"
9/18/2007,Linda Cazamias,West,DTP,Critical,2/8/2011,4.2,1,"29,410"
9/18/2007,Ben Ferrer,West,DTP,Medium,2/9/2011,4,1,"38,915"
9/18/2007,Shahid Shariari,West,DTP,Not Specified,2/10/2011,7.78,1,"41,412"
9/18/2007,Pete Kriz,Central,DTP,Low,2/11/2011,3.99,1,"31,619"
9/19/2007,Denise Monton,Central,DTP,Medium,2/12/2011,8.99,1,"18,371"
9/19/2007,Katrina Bavinger,Central,DTP,High,2/13/2011,1.39,1,"37,254"
9/19/2007,Linda Cazamias,West,DTP,Medium,2/14/2011,8.54,1,"19,204"
9/19/2007,Phillina Ober,East,DTP,Medium,2/15/2011,4.62,1,"48,385"
9/19/2007,Linda Cazamias,West,DTP,Medium,2/16/2011,4.86,1,"19,204"
9/20/2007,Toby Knight,West,Custom Order,High,2/17/2011,1.99,1,"54,436"
9/20/2007,Clytie Kelty,South,DTP,Critical,2/18/2011,4,1,"4,645"
9/20/2007,Pauline Webber,South,DTP,Not Specified,2/19/2011,0.49,1,"21,831"
9/20/2007,Jonathan Howell,West,DTP,Critical,2/20/2011,6.35,1,"54,694"
9/20/2007,Paul Prost,South,Custom Order,High,2/21/2011,8.99,1,"59,238"
9/20/2007,Ross Baird,Central,DTP,High,2/22/2011,2.87,1,"2,816"
9/20/2007,Toby Knight,West,DTP,High,2/23/2011,2.83,1,"54,436"
9/20/2007,Karl Brown,West,Custom Order,Not Specified,2/24/2011,5.14,1,"8,320"
9/20/2007,Clytie Kelty,South,DTP,Critical,2/25/2011,3.5,1,"4,645"
9/20/2007,Clytie Kelty,South,DTP,Critical,2/26/2011,11.64,1,"4,645"
9/20/2007,Karl Brown,West,DTP,Not Specified,2/27/2011,4,1,"8,320"
9/21/2007,Sung Chung,South,DTP,Critical,2/28/2011,6.89,1,548
9/21/2007,Christina DeMoss,West,DTP,Medium,3/1/2011,5.81,1,"49,059"
9/21/2007,Jim Kriz,West,DTP,Medium,3/2/2011,6.85,1,960
9/21/2007,Sung Chung,South,DTP,Critical,3/3/2011,4.2,1,548
9/21/2007,Christina DeMoss,West,DTP,Medium,3/4/2011,0.5,1,"49,059"
9/22/2007,Arianne Irving,Central,DTP,Medium,3/5/2011,0.99,1,"6,020"
9/22/2007,Paul Knutson,Central,DTP,Low,3/6/2011,5.3,1,"13,378"
9/23/2007,Alejandro Savely,West,DTP,High,3/7/2011,0.5,1,"41,440"
9/23/2007,Alejandro Savely,West,Wholesaler,High,3/8/2011,54.12,1,"41,440"
9/24/2007,Kristina Nunn,West,Custom Order,Critical,3/9/2011,35,1,"49,088"
9/24/2007,Paul Prost,South,DTP,Critical,3/10/2011,3.99,1,"53,153"
9/24/2007,Mitch Willingham,South,DTP,Not Specified,3/11/2011,4.5,1,"49,735"
9/24/2007,Kristina Nunn,West,DTP,Critical,3/12/2011,2.83,1,"49,088"
9/24/2007,Kristina Nunn,West,DTP,Critical,3/13/2011,17.48,1,"49,088"
9/24/2007,Scot Coram,West,DTP,Low,3/14/2011,0.99,1,"55,265"
9/25/2007,Bill Donatelli,East,Custom Order,Low,3/15/2011,1.39,1,"28,420"
9/25/2007,Cathy Armstrong,Central,DTP,Critical,3/16/2011,4,1,"29,826"
9/25/2007,Eugene Hildebrand,Central,DTP,Medium,3/17/2011,9.72,1,"42,022"
9/25/2007,Michelle Arnett,Central,DTP,Medium,3/18/2011,3.99,1,"53,190"
9/25/2007,Jim Sink,South,DTP,High,3/19/2011,35,1,"55,138"
9/25/2007,Maxwell Schwartz,West,Wholesaler,Medium,3/20/2011,30,1,"4,583"
9/25/2007,Michelle Arnett,Central,DTP,Medium,3/21/2011,1.49,1,"53,190"
9/26/2007,Jeremy Lonsdale,Central,DTP,Critical,3/22/2011,3.14,1,"28,135"
9/26/2007,Erin Mull,South,Wholesaler,Critical,3/23/2011,15.59,1,"16,133"
9/26/2007,Barry Blumstein,Central,DTP,Not Specified,3/24/2011,4.62,1,"23,136"
9/26/2007,Barry Blumstein,Central,DTP,Not Specified,3/25/2011,18.06,1,"23,136"
9/26/2007,Roland Black,East,DTP,Not Specified,3/26/2011,8.99,1,"18,754"
9/26/2007,Jeremy Lonsdale,Central,DTP,Critical,3/27/2011,5.1,1,"28,135"
9/26/2007,Sue Ann Reed,Central,DTP,Critical,3/28/2011,5,1,"12,903"
9/26/2007,Matt Abelman,East,DTP,Critical,3/29/2011,13.56,1,"16,133"
9/26/2007,James Galang,West,DTP,Low,3/30/2011,1.99,1,"3,522"
9/26/2007,Roland Black,East,Wholesaler,Not Specified,3/31/2011,36.09,1,"18,754"
9/26/2007,James Galang,West,DTP,Low,4/1/2011,49,1,"3,522"
9/27/2007,Joseph Holt,South,DTP,Critical,4/2/2011,6.5,1,"19,075"
9/27/2007,Marc Crier,Central,Wholesaler,High,4/3/2011,51.94,1,"41,542"
9/27/2007,Jack Garza,Central,DTP,Critical,4/4/2011,18.98,1,"20,069"
9/27/2007,William Brown,South,Custom Order,Critical,4/5/2011,5.97,1,"31,175"
9/28/2007,Mary O'Rourke,East,Custom Order,Medium,4/6/2011,8.66,1,"49,441"
9/28/2007,Liz Carlisle,Central,DTP,Critical,4/7/2011,4.82,1,"25,953"
9/28/2007,Liz Carlisle,Central,DTP,Critical,4/8/2011,7.69,1,"25,953"
9/28/2007,Victoria Pisteka,Central,DTP,Not Specified,4/9/2011,0.5,1,"12,007"
9/29/2007,Meg O'Connel,East,DTP,Medium,4/10/2011,5.72,1,"55,461"
9/29/2007,Sean Braxton,Central,DTP,High,4/11/2011,19.99,1,231
9/29/2007,Dan Lawera,South,DTP,High,4/12/2011,9.2,1,"16,771"
9/29/2007,Craig Leslie,West,DTP,Low,4/13/2011,5.14,1,"9,219"
9/29/2007,Craig Leslie,West,DTP,Low,4/14/2011,6.5,1,"9,219"
9/30/2007,Michelle Huthwaite,West,Custom Order,High,4/15/2011,19.99,1,"58,151"
9/30/2007,Michelle Huthwaite,West,DTP,High,4/16/2011,2.99,1,"58,151"
9/30/2007,Dennis Kane,South,Custom Order,Medium,4/17/2011,2.35,1,"44,775"
9/30/2007,Erin Creighton,Central,DTP,Not Specified,4/18/2011,5.21,1,"4,354"
9/30/2007,Amy Hunt,Central,DTP,High,4/19/2011,8.99,1,"26,913"
9/30/2007,Tamara Willingham,East,DTP,High,4/20/2011,8.99,1,"26,689"
9/30/2007,Nat Carroll,West,DTP,Low,4/21/2011,4.2,1,"19,716"
10/1/2007,Tanja Norvell,West,DTP,Critical,4/22/2011,8.99,1,"4,451"
10/1/2007,Karen Carlisle,South,DTP,Not Specified,4/23/2011,2.99,1,900
10/1/2007,Ann Steele,West,DTP,Medium,4/24/2011,6.62,1,"19,140"
10/1/2007,Alejandro Grove,West,Wholesaler,High,4/25/2011,62.94,1,"41,728"
10/1/2007,Michelle Tran,West,DTP,Critical,4/26/2011,7.49,1,"4,708"
10/1/2007,Alejandro Grove,West,DTP,High,4/27/2011,19.99,1,"41,728"
10/1/2007,Ionia McGrath,South,DTP,Low,4/28/2011,5.26,1,"30,278"
10/2/2007,Tom Prescott,Central,DTP,Low,4/29/2011,2.04,1,"37,473"
10/2/2007,Cathy Hwang,South,DTP,High,4/30/2011,5,1,"49,056"
10/2/2007,Doug Bickford,South,Wholesaler,Critical,5/1/2011,36.61,1,"53,797"
10/2/2007,Carl Weiss,East,Custom Order,Medium,5/2/2011,19.99,1,"33,701"
10/2/2007,Roy Skaria,Central,DTP,Not Specified,5/3/2011,19.99,1,"16,321"
10/2/2007,Cathy Hwang,South,DTP,High,5/4/2011,8.4,1,"49,056"
10/2/2007,Tom Prescott,Central,DTP,Low,5/5/2011,5,1,"37,473"
10/3/2007,Joy Smith,Central,DTP,Not Specified,5/6/2011,11.17,1,"18,788"
10/3/2007,Anna Andreadi,South,DTP,Critical,5/7/2011,19.99,1,"51,072"
10/3/2007,Duane Noonan,West,Wholesaler,Not Specified,5/8/2011,29.7,1,"15,654"
10/3/2007,Duane Noonan,West,Wholesaler,Not Specified,5/9/2011,54.92,1,"15,654"
10/5/2007,Grant Carroll,East,Custom Order,Medium,5/10/2011,4.93,1,"49,313"
10/5/2007,Jas O'Carroll,East,Custom Order,Medium,5/11/2011,6.38,1,"50,051"
10/5/2007,Natalie Webber,Central,DTP,Medium,5/12/2011,14.48,1,"15,075"
10/5/2007,Grant Carroll,East,DTP,Medium,5/13/2011,1.25,1,"49,313"
10/5/2007,John Stevenson,South,Custom Order,Not Specified,5/14/2011,8.99,1,"3,841"
10/5/2007,Natalie Webber,Central,DTP,Medium,5/15/2011,5.14,1,"15,075"
10/5/2007,Jas O'Carroll,East,DTP,Medium,5/16/2011,6.98,1,"50,051"
10/5/2007,Jas O'Carroll,East,DTP,Medium,5/17/2011,34.2,1,"50,051"
10/5/2007,Deanra Eno,South,DTP,Low,5/18/2011,5.3,1,"44,583"
10/5/2007,John Stevenson,South,DTP,Not Specified,5/19/2011,68.99,1,"3,841"
10/5/2007,Bart Pistole,Central,DTP,Low,5/20/2011,1.99,1,"19,111"
10/5/2007,Deanra Eno,South,DTP,Low,5/21/2011,5,1,"44,583"
10/5/2007,Keith Dawkins,Central,Custom Order,Low,5/22/2011,5.75,1,"30,214"
10/6/2007,Chad Sievert,East,DTP,High,5/23/2011,5.33,1,"9,923"
10/6/2007,Paul Knutson,Central,DTP,Critical,5/24/2011,4.2,1,"20,518"
10/6/2007,Paul Knutson,Central,Wholesaler,Critical,5/25/2011,18.06,1,"20,518"
10/6/2007,Chad Sievert,East,Wholesaler,High,5/26/2011,99,1,"9,923"
10/6/2007,Carl Jackson,Central,Wholesaler,Not Specified,5/27/2011,29.2,1,"41,764"
10/7/2007,Duane Noonan,West,DTP,Critical,5/28/2011,0.5,1,"57,511"
10/7/2007,Nick Crebassa,South,Custom Order,Critical,5/29/2011,5.74,1,"46,881"
10/7/2007,Duane Noonan,West,DTP,Critical,5/30/2011,5,1,"57,511"
10/8/2007,John Murray,East,DTP,High,5/31/2011,52.2,1,"46,533"
10/8/2007,Mathew Reese,South,DTP,Medium,6/1/2011,23.99,1,"8,162"
10/8/2007,John Murray,East,Custom Order,High,6/2/2011,3.99,1,"46,533"
10/8/2007,Ken Lonsdale,South,Custom Order,High,6/3/2011,4.99,1,"26,016"
10/8/2007,Ken Lonsdale,South,DTP,High,6/4/2011,4,1,"26,016"
10/8/2007,Mathew Reese,South,DTP,Medium,6/5/2011,19.99,1,"8,162"
10/8/2007,Liz Price,West,DTP,Not Specified,6/6/2011,11.93,1,"47,520"
10/8/2007,Liz Price,West,Wholesaler,Not Specified,6/7/2011,48.8,1,"47,520"
10/9/2007,Denise Monton,Central,DTP,Medium,6/8/2011,5.43,1,"50,147"
10/9/2007,Pamela Stobb,Central,DTP,Not Specified,6/9/2011,2.85,1,"36,739"
10/9/2007,Denise Monton,Central,DTP,Medium,6/10/2011,14.72,1,"50,147"
10/9/2007,Ralph Knight,East,DTP,Critical,6/11/2011,5.92,1,"28,675"
10/9/2007,Peter Fuller,South,DTP,Critical,6/12/2011,0.81,1,"35,136"
10/9/2007,Pamela Stobb,Central,DTP,Not Specified,6/13/2011,5.26,1,"36,739"
10/9/2007,Quincy Jones,South,Wholesaler,Not Specified,6/14/2011,26.74,1,"21,541"
10/10/2007,Eugene Barchas,East,DTP,High,6/15/2011,7.01,1,"2,791"
10/10/2007,Ann Chong,East,DTP,Not Specified,6/16/2011,4,1,"18,308"
10/10/2007,Nicole Brennan,West,DTP,High,6/17/2011,0.5,1,"14,785"
10/10/2007,Eugene Barchas,East,DTP,High,6/18/2011,5.76,1,"2,791"
10/10/2007,Ann Chong,East,DTP,Not Specified,6/19/2011,8.08,1,"18,308"
10/10/2007,Allen Armold,West,DTP,Critical,6/20/2011,6.14,1,"13,920"
10/10/2007,Nicole Brennan,West,DTP,High,6/21/2011,6.17,1,"14,785"
10/10/2007,Jennifer Jackson,East,Wholesaler,Not Specified,6/22/2011,14,1,"59,591"
10/10/2007,Allen Armold,West,Custom Order,Critical,6/23/2011,5.08,1,"13,920"
10/10/2007,Erin Ashbrook,West,Custom Order,Critical,6/24/2011,6.5,1,"23,008"
10/10/2007,Erin Ashbrook,West,Custom Order,Critical,6/25/2011,9.07,1,"23,008"
10/10/2007,Ann Chong,East,DTP,Not Specified,6/26/2011,1.49,1,"18,308"
10/10/2007,Jennifer Jackson,East,DTP,Not Specified,6/27/2011,7.07,1,"59,591"
10/10/2007,Eugene Barchas,East,Wholesaler,High,6/28/2011,30,1,"2,791"
10/11/2007,Phillip Flathmann,Central,DTP,Low,6/29/2011,8.8,1,"54,819"
10/11/2007,Jason Klamczynski,Central,DTP,Critical,6/30/2011,2.15,1,"28,002"
10/11/2007,Phillip Flathmann,Central,DTP,Low,7/1/2011,0.8,1,"54,819"
10/11/2007,Thomas Boland,West,DTP,High,7/2/2011,6.66,1,"16,610"
10/11/2007,Phillip Flathmann,Central,DTP,Low,7/3/2011,5.71,1,"54,819"
10/12/2007,Berenike Kampe,West,Custom Order,Low,7/4/2011,6.15,1,"48,420"
10/12/2007,Mick Hernandez,South,DTP,High,7/5/2011,5.92,1,"9,926"
10/12/2007,Chuck Magee,South,DTP,Medium,7/6/2011,11.15,1,"46,756"
10/12/2007,John Dryer,South,DTP,Low,7/7/2011,18.93,1,"26,146"
10/12/2007,John Dryer,South,DTP,Low,7/8/2011,7.95,1,"26,146"
10/13/2007,Toby Knight,West,DTP,Not Specified,7/9/2011,1.5,1,"40,708"
10/13/2007,Cindy Stewart,West,Wholesaler,Low,7/10/2011,14,1,"50,786"
10/14/2007,James Lanier,East,DTP,Critical,7/11/2011,6.02,1,"8,835"
10/14/2007,Anna Haberlin,West,Wholesaler,Not Specified,7/12/2011,46.2,1,"53,766"
10/14/2007,Tamara Dahlen,East,DTP,Medium,7/13/2011,4.62,1,"17,024"
10/14/2007,Sean Christensen,West,DTP,High,7/14/2011,11.69,1,"22,208"
10/14/2007,Max Jones,West,DTP,Low,7/15/2011,5.33,1,"43,360"
10/16/2007,Justin Hirsh,West,Custom Order,Not Specified,7/16/2011,8.99,1,"47,108"
10/16/2007,Julia West,East,DTP,Critical,7/17/2011,14.48,1,"40,160"
10/16/2007,Justin Hirsh,West,DTP,Not Specified,7/18/2011,3.77,1,"47,108"
10/16/2007,Sarah Foster,West,Custom Order,Medium,7/19/2011,5.01,1,"56,995"
10/16/2007,Jennifer Jackson,East,DTP,High,7/20/2011,5.37,1,"17,028"
10/16/2007,Damala Kotsonis,South,DTP,Critical,7/21/2011,4.95,1,"57,248"
10/16/2007,Justin Hirsh,West,DTP,Not Specified,7/22/2011,8.51,1,"47,108"
10/16/2007,Justin Hirsh,West,Custom Order,Not Specified,7/23/2011,4.78,1,"47,108"
10/16/2007,Cari Sayre,West,DTP,Low,7/24/2011,7.44,1,"8,165"
10/18/2007,Beth Paige,East,DTP,Medium,7/25/2011,5.37,1,"7,906"
10/18/2007,Gary McGarr,Central,Custom Order,High,7/26/2011,6.02,1,"31,493"
10/18/2007,Laurel Workman,West,DTP,Medium,7/27/2011,5.41,1,"43,044"
10/18/2007,Laurel Workman,West,DTP,Medium,7/28/2011,24.49,1,"43,044"
10/18/2007,Katherine Nockton,South,DTP,Low,7/29/2011,35,1,"13,761"
10/19/2007,Brian Moss,South,DTP,Critical,7/30/2011,8.99,1,"2,086"
10/19/2007,Brian Moss,South,Custom Order,Critical,7/31/2011,4.86,1,"2,086"
10/19/2007,Brian Moss,South,DTP,Critical,8/1/2011,12.65,1,"2,086"
10/19/2007,Khloe Miller,East,DTP,Low,8/2/2011,5.79,1,"26,342"
10/19/2007,Christine Abelman,Central,DTP,Low,8/3/2011,12.23,1,"41,255"
10/19/2007,Khloe Miller,East,DTP,Low,8/4/2011,4.91,1,"26,342"
10/19/2007,Khloe Miller,East,DTP,Low,8/5/2011,11.59,1,"26,342"
10/20/2007,Nora Price,East,DTP,Low,8/6/2011,9.54,1,"53,222"
10/20/2007,Karen Carlisle,South,Custom Order,High,8/7/2011,8.99,1,"39,649"
10/20/2007,Karen Carlisle,South,DTP,High,8/8/2011,5.46,1,"39,649"
10/20/2007,Tanja Norvell,West,DTP,Critical,8/9/2011,5.5,1,"28,614"
10/20/2007,Liz Pelletier,Central,DTP,Low,8/10/2011,54.41,1,"52,615"
10/21/2007,Alan Haines,Central,DTP,Medium,8/11/2011,2.19,1,"19,522"
10/21/2007,William Brown,South,DTP,Critical,8/12/2011,38.97,1,"36,835"
10/21/2007,Magdelene Morse,West,DTP,High,8/13/2011,8.8,1,"16,196"
